"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Diffusion 4.nlogo"
"social-influence-experiment"
"07/03/2024 18:41:00:024 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","density","frac-influential","number-of-agents","network","social-influence","broadcast-influence","influential-weight","[step]","count turtles with [adopted?]","count regulars with [adopted?]","count influentials with [adopted?]"
"1","0.3","0.3","100","random","0.1","0.2","0.7","0","0","0","0"
"2","0.3","0.3","100","random","0.2","0.2","0.7","0","0","0","0"
"3","0.3","0.3","100","random","0.3","0.2","0.7","0","0","0","0"
"4","0.3","0.3","100","random","0.4","0.2","0.7","0","0","0","0"
"3","0.3","0.3","100","random","0.3","0.2","0.7","1","21","12","9"
"1","0.3","0.3","100","random","0.1","0.2","0.7","1","16","13","3"
"4","0.3","0.3","100","random","0.4","0.2","0.7","1","27","18","9"
"2","0.3","0.3","100","random","0.2","0.2","0.7","1","21","17","4"
"3","0.3","0.3","100","random","0.3","0.2","0.7","2","48","33","15"
"1","0.3","0.3","100","random","0.1","0.2","0.7","2","38","29","9"
"4","0.3","0.3","100","random","0.4","0.2","0.7","2","49","38","11"
"2","0.3","0.3","100","random","0.2","0.2","0.7","2","43","31","12"
"3","0.3","0.3","100","random","0.3","0.2","0.7","3","69","48","21"
"4","0.3","0.3","100","random","0.4","0.2","0.7","3","72","53","19"
"1","0.3","0.3","100","random","0.1","0.2","0.7","3","50","38","12"
"2","0.3","0.3","100","random","0.2","0.2","0.7","3","61","43","18"
"3","0.3","0.3","100","random","0.3","0.2","0.7","4","79","55","24"
"4","0.3","0.3","100","random","0.4","0.2","0.7","4","79","57","22"
"3","0.3","0.3","100","random","0.3","0.2","0.7","5","89","62","27"
"4","0.3","0.3","100","random","0.4","0.2","0.7","5","87","63","24"
"2","0.3","0.3","100","random","0.2","0.2","0.7","4","75","54","21"
"3","0.3","0.3","100","random","0.3","0.2","0.7","6","93","65","28"
"4","0.3","0.3","100","random","0.4","0.2","0.7","6","96","68","28"
"1","0.3","0.3","100","random","0.1","0.2","0.7","4","59","43","16"
"3","0.3","0.3","100","random","0.3","0.2","0.7","7","95","66","29"
"4","0.3","0.3","100","random","0.4","0.2","0.7","7","98","69","29"
"2","0.3","0.3","100","random","0.2","0.2","0.7","5","82","59","23"
"4","0.3","0.3","100","random","0.4","0.2","0.7","8","100","70","30"
"3","0.3","0.3","100","random","0.3","0.2","0.7","8","99","69","30"
"3","0.3","0.3","100","random","0.3","0.2","0.7","9","100","70","30"
"2","0.3","0.3","100","random","0.2","0.2","0.7","6","89","65","24"
"1","0.3","0.3","100","random","0.1","0.2","0.7","5","76","53","23"
"2","0.3","0.3","100","random","0.2","0.2","0.7","7","91","65","26"
"1","0.3","0.3","100","random","0.1","0.2","0.7","6","85","60","25"
"2","0.3","0.3","100","random","0.2","0.2","0.7","8","93","66","27"
"2","0.3","0.3","100","random","0.2","0.2","0.7","9","94","67","27"
"1","0.3","0.3","100","random","0.1","0.2","0.7","7","87","60","27"
"2","0.3","0.3","100","random","0.2","0.2","0.7","10","96","67","29"
"2","0.3","0.3","100","random","0.2","0.2","0.7","11","99","69","30"
"1","0.3","0.3","100","random","0.1","0.2","0.7","8","94","66","28"
"2","0.3","0.3","100","random","0.2","0.2","0.7","12","100","70","30"
"1","0.3","0.3","100","random","0.1","0.2","0.7","9","94","66","28"
"1","0.3","0.3","100","random","0.1","0.2","0.7","10","96","68","28"
"1","0.3","0.3","100","random","0.1","0.2","0.7","11","97","68","29"
